                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  6.556,                 9.6439,                 4.2027,                      0,                      0,                      0,                      0,                 6.8262,                 8.9722,                 4.1596,             0.00018337,             0.00018337,             0.00018337
                      2,                 6.3586,                  7.937,                 4.0731,                      0,                      0,                      0,                      0,                 6.8237,                 8.7906,                 4.1367,             0.00037961,             0.00037961,             0.00037961
                      3,                 5.8659,                 5.8744,                 3.6792,                      0,                      0,                      0,                      0,                  6.821,                 6.6807,                 4.1102,              0.0005719,              0.0005719,              0.0005719
                      4,                 4.4765,                 4.4363,                 2.9838,                      0,                      0,                      0,                      0,                 6.8184,                 4.7082,                 4.1513,             0.00076022,             0.00076022,             0.00076022
                      5,                 3.7819,                 3.2719,                 2.4837,                      0,                      0,                      0,                      0,                 6.8135,                 7.3246,                 4.2621,             0.00094458,             0.00094458,             0.00094458
                      6,                 3.4076,                 2.7746,                 2.1717,                      0,                      0,                      0,                      0,                 6.8024,                 8.9119,                  4.469,               0.001125,               0.001125,               0.001125
                      7,                 3.3336,                 2.8367,                 1.9934,                      0,                      0,                      0,                      0,                 6.7533,                 13.288,                 4.8368,              0.0013014,              0.0013014,              0.0013014
                      8,                 3.0684,                 2.6206,                 1.9491,                      0,                      0,                      0,                      0,                 6.7853,                 14.721,                 4.6833,              0.0014739,              0.0014739,              0.0014739
                      9,                 3.0854,                 2.6167,                 1.8183,                0.00641,                0.15584,                0.07325,                0.02518,                 3.5027,                 3.4247,                 2.0203,               0.001535,               0.001535,               0.001535
                     10,                 2.9774,                 2.3575,                 1.8767,                0.69032,                0.14935,                0.13124,                0.03812,                  2.624,                 2.2496,                 1.6034,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.9623,                 2.3064,                 1.7526,                0.70709,                0.17532,                 0.1598,                0.04891,                 2.4275,                 2.7208,                 1.5488,               0.001502,               0.001502,               0.001502
